Time_Step,Adj Close,Close,High,Low,Open,Volume,Day_of_Week,Month,MA_30,Target_Close,Price_Movement
66,12.687999725341797,12.687999725341797,12.899999618530273,12.506667137145996,12.564000129699707,83695500.0,1,3,13.625777784983317,12.916000366210938,0.22800064086914062
67,12.916000366210938,12.916000366210938,13.078666687011719,12.734000205993652,12.743332862854004,74623500.0,2,3,13.573022238413493,12.73799991607666,-0.17800045013427734
68,12.73799991607666,12.73799991607666,12.963333129882812,12.649999618530273,12.916666984558105,62239500.0,3,3,13.516977787017822,12.578666687011719,-0.1593332290649414
69,12.578666687011719,12.578666687011719,12.783332824707031,12.48799991607666,12.596667289733887,81514500.0,4,3,13.463377761840821,12.578666687011719,0.0
70,12.578666687011719,12.578666687011719,12.783332824707031,12.48799991607666,12.596667289733887,81514500.0,5,3,13.431822204589844,12.578666687011719,0.0
71,12.578666687011719,12.578666687011719,12.783332824707031,12.48799991607666,12.596667289733887,81514500.0,6,3,13.398288853963216,13.046667098999023,0.4680004119873047
72,13.046667098999023,13.046667098999023,13.060667037963867,12.653332710266113,12.800000190734863,84432000.0,0,3,13.380355517069498,12.982000350952148,-0.064666748046875
73,12.982000350952148,12.982000350952148,13.247332572937012,12.929332733154297,13.028667449951172,73411500.0,1,3,13.360266621907552,13.380666732788086,0.3986663818359375
74,13.380666732788086,13.380666732788086,13.392000198364258,12.87399959564209,12.997332572937012,72313500.0,2,3,13.353466606140136,13.043333053588867,-0.33733367919921875
75,13.043333053588867,13.043333053588867,13.63933277130127,12.968667030334473,13.466667175292969,127128000.0,3,3,13.334133275349934,13.20533275604248,0.16199970245361328
76,13.20533275604248,13.20533275604248,13.265999794006348,13.041333198547363,13.16333293914795,64042500.0,4,3,13.319955476125081,13.20533275604248,0.0
77,13.20533275604248,13.20533275604248,13.265999794006348,13.041333198547363,13.16333293914795,64042500.0,5,3,13.289666557312012,13.20533275604248,0.0
78,13.20533275604248,13.20533275604248,13.265999794006348,13.041333198547363,13.16333293914795,64042500.0,6,3,13.247377649943035,13.308667182922363,0.10333442687988281
79,13.308667182922363,13.308667182922363,13.366666793823242,13.164667129516602,13.233332633972168,39474000.0,0,3,13.208533223470052,13.447999954223633,0.13933277130126953
80,13.447999954223633,13.447999954223633,13.586000442504883,13.316666603088379,13.438667297363281,54748500.0,1,3,13.174333222707112,12.953332901000977,-0.49466705322265625
81,12.953332901000977,12.953332901000977,13.239333152770996,12.846667289733887,13.218000411987305,85956000.0,2,3,13.145355415344238,12.694000244140625,-0.25933265686035156
82,12.694000244140625,12.694000244140625,12.986000061035156,12.646666526794434,12.928000450134277,61920000.0,3,3,13.114910984039307,12.333333015441895,-0.36066722869873047
83,12.333333015441895,12.333333015441895,12.619333267211914,12.09333324432373,12.604666709899902,129073500.0,4,3,13.073222096761068,12.333333015441895,0.0
84,12.333333015441895,12.333333015441895,12.619333267211914,12.09333324432373,12.604666709899902,129073500.0,5,3,13.023910967508952,12.333333015441895,0.0
85,12.333333015441895,12.333333015441895,12.619333267211914,12.09333324432373,12.604666709899902,129073500.0,6,3,12.983155409495035,12.704667091369629,0.3713340759277344
86,12.704667091369629,12.704667091369629,12.816666603088379,12.119999885559082,12.390000343322754,151342500.0,0,3,12.954777654012045,12.584667205810547,-0.11999988555908203
87,12.584667205810547,12.584667205810547,12.917332649230957,12.560667037963867,12.902000427246094,75399000.0,1,3,12.92239990234375,12.505999565124512,-0.07866764068603516
88,12.505999565124512,12.505999565124512,12.819999694824219,12.403332710266113,12.579999923706055,56919000.0,2,4,12.900755469004313,12.733332633972168,0.22733306884765625
89,12.733332633972168,12.733332633972168,12.881999969482422,12.666666984558105,12.682000160217285,75156000.0,3,4,12.881733226776124,12.733332633972168,0.0
90,12.733332633972168,12.733332633972168,12.881999969482422,12.666666984558105,12.682000160217285,75156000.0,4,4,12.856310971577962,12.733332633972168,0.0
91,12.733332633972168,12.733332633972168,12.881999969482422,12.666666984558105,12.682000160217285,75156000.0,5,4,12.83491096496582,12.733332633972168,0.0
92,12.733332633972168,12.733332633972168,12.881999969482422,12.666666984558105,12.682000160217285,75156000.0,6,4,12.828510951995849,13.539999961853027,0.8066673278808594
93,13.539999961853027,13.539999961853027,13.850000381469727,13.166666984558105,13.199999809265137,186837000.0,0,4,12.848999849955241,13.550000190734863,0.010000228881835938
94,13.550000190734863,13.550000190734863,13.670666694641113,13.409333229064941,13.500666618347168,65218500.0,1,4,12.86982208887736,13.844667434692383,0.29466724395751953
95,13.844667434692383,13.844667434692383,14.0600004196167,13.724666595458984,13.880000114440918,94546500.0,2,4,12.907133229573567,14.005999565124512,0.1613321304321289
96,14.005999565124512,14.005999565124512,14.024666786193848,13.7413330078125,13.895333290100098,57003000.0,3,4,12.951066557566325,14.0600004196167,0.0540008544921875
97,14.0600004196167,14.0600004196167,14.109999656677246,13.933333396911621,13.989999771118164,61015500.0,4,4,12.989199892679851,14.0600004196167,0.0
